node_id,node_type,bipartite,label,coverage_status,author_channel_id,author_name,author_handle,comments_total,distinct_videos,distinct_channels,likes_total,replies_total,video_id,title,channel_id,channel_name,category,source_group,view_count,comments_observed,unique_authors
video::WIUZtitfLRw,video,1,Caminar en una ciudad hecha para carros,con_comentarios_recolectados,,,,,,,,,WIUZtitfLRw,Caminar en una ciudad hecha para carros,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,channel,422.0,6.0,6.0
video::WQcgx8rs0Qo,video,1,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",sin_comentarios_recolectados,,,,,,,,,WQcgx8rs0Qo,"PMT SE BURL4 DE UN MOTORISTA D1SC4PACIT4D0, DISCULPESE POR FAVOR VILLA NUEVA, GUATEMALA.",UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,Education,official_gov,1861.0,0.0,0.0
video::WXA2Apo79jA,video,1,Resumen de atención a Emergencias CIV,sin_comentarios_recolectados,,,,,,,,,WXA2Apo79jA,Resumen de atención a Emergencias CIV,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,News & Politics,official_gov,29.0,0.0,0.0
video::WXgGL9rZUHo,video,1,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,sin_comentarios_recolectados,,,,,,,,,WXgGL9rZUHo,#EnvivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,News & Politics,topic,190.0,0.0,0.0
video::XLkVzqqL34Q,video,1,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),sin_comentarios_recolectados,,,,,,,,,XLkVzqqL34Q,Nueva Mega Autopista Xochi en Guatemala 🇬🇹 ¿Vale la pena? (Te ahorra hasta 3 horas),UCkXkEfAaEGxUaIT6TBBkwMw,One Life,Entertainment,topic,44510.0,0.0,0.0
video::XVZM15KVXjM,video,1,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,sin_comentarios_recolectados,,,,,,,,,XVZM15KVXjM,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,267.0,0.0,0.0
video::X_FAIef8qlE,video,1,Cruzando la ciudad a puro Transmetro,con_comentarios_recolectados,,,,,,,,,X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,channel,1140.0,1.0,1.0
video::XktDG8dmcd0,video,1,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,sin_comentarios_recolectados,,,,,,,,,XktDG8dmcd0,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,News & Politics,topic,5171.0,0.0,0.0
video::YJohmVLc9QA,video,1,How to Get Around Guatemala: Complete Transportation Guide (2026),sin_comentarios_recolectados,,,,,,,,,YJohmVLc9QA,How to Get Around Guatemala: Complete Transportation Guide (2026),UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,Travel & Events,topic,3897.0,0.0,0.0
video::YLFXK2c60Xc,video,1,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,sin_comentarios_recolectados,,,,,,,,,YLFXK2c60Xc,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,channel,200.0,0.0,0.0
