video_id,title,channel_id,channel_name,category,source_group,view_count,comentarios_obs,autores_unicos,likes,respuestas,tiene_comentarios
1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,UCWYeiFUCO0SW6BxZ8aPxVTw,Vicepresidencia Guate,Entertainment,topic,48,0,0,0,0,False
1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,UCdHETJl6cR5dye5XxEyqycQ,El profe de Historia Gt,People & Blogs,topic,31697,0,0,0,0,False
1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,471,0,0,0,0,False
1yHN9Ci7pXs,Municipalidad de Guatemala informa,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,topic,1617,0,0,0,0,False
2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,UCDaIW3kDab95q7iCSeVAnbQ,Guatevisión,Entertainment,topic,5181,0,0,0,0,False
2n31FhKmELI,TRÁFICO EN GUATEMALA,UC96TdbkzdlngA9hT1XNzJkw,Fralis Maxiel Martinez,People & Blogs,topic,512,0,0,0,0,False
2p23yPpu6aQ,#Conred,UC7PbHMtfWgBFZ_SSZ8iRhQg,Noticias-FA-Gt,People & Blogs,official_gov,164,0,0,0,0,False
3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,UC-YGRGi0FeIA5441bGlHOPw,audioschileros,People & Blogs,official_gov,70811,0,0,0,0,False
3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,294,0,0,0,0,False
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,topic,573,2,2,0,0,True
3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2838,0,0,0,0,False
3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,News & Politics,official_gov,53021,0,0,0,0,False
3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,7465,0,0,0,0,False
3onMfRym3OU,PRIMER PUENTE DONDE ARRIBA VA EL TRÁFICO Y ABAJO UN TREN EN GUATEMALA Y AMÉRICA LATINA.,UCH1AYkCs1GpNK_xUwFYTsaQ,Cronos Time GT,Education,topic,4484,0,0,0,0,False
45xQLtMlPdo,"PRESIDENTE DE GUATEMALA, BERNARDO ARÉVALO SE REFIERE AL “DÍA INTERNACIONAL DE LA LIBERTAD DE PRENSA”",UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,People & Blogs,topic,8,0,0,0,0,False
4DD1nlxWk2s,Fuertes LLUVIAS en el JABALI; a si luce una Tarde de Tormenta 😱,UCKu8ZkS9vriCetFagAGIMXA,VIVA GUATEMALA,Entertainment,topic,27111,0,0,0,0,False
4FUed7cIhPU,El Sistema CONRED y el Gobierno de Guatemala trabajan unidos para atender emergencias.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,47,0,0,0,0,False
4H6w9FQAcS8,"Avances en temas de economía, precios de los combustibles y otros temas de interés nacional.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,official_gov,1489,0,0,0,0,False
5DRG-WGTq1k,El Sistema CONRED continúa activo y trabajando de manera coordinada #VolcánDeFuego.,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,68,0,0,0,0,False
5MFnG5B7ric,Municipalidad de Guatemala 09/07/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,107,0,0,0,0,False
5OhxjDvuYbQ,"Operativos PMT ""Cero Tolerancia"" para fin de año",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,494,0,0,0,0,False
5UNxNfcSzG4,Distinción del Cambio de la Rosa de la Paz a Pedro Castro López del INACOP,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,741,0,0,0,0,False
5Y7fntl6Rc8,Cómo llegar a TIKAL desde Ciudad de GUATEMALA en autobús o en Avión | transporte a PETÉN,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,Travel & Events,topic,11061,0,0,0,0,False
5nw9G1vwnYY,Actriz guatemalteca caracteriza a Consuelo Porras frente al MP por salida del cargo,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,40327,0,0,0,0,False
677N9cx_kKE,Carlos Pineda Seguridad I - Guatemala tiene solución | Ep. 2,UCInL6HZez6Qn8IHV8Achhxw,Carlos Pineda,People & Blogs,topic,8568,0,0,0,0,False
6KlI_geqPOI,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2301,0,0,0,0,False
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,11670,45,32,90,11,True
6Wf0ItQUaDU,“Queremos generar 60 mil empleos”: Victorino Carranza revela el plan y las pérdidas de la Gremipe,UCoXuxT5_LclvcoCeFoS_iUw,Campus TV,News & Politics,topic,2,0,0,0,0,False
6y3KQmmg3Oc,Noticiero El Informativo. Nuestra semana de resultados.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,303,0,0,0,0,False
6z2Psav9Onw,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,848,0,0,0,0,False
74F3Mn_NWoE,"Acto de Graduación de los Cursos de Formación, Ascenso y Especialización Policial de la PNC.",UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,official_gov,1197,0,0,0,0,False
7JerBdHtkWA,Cambio de horarios en Municipalidad de Guatemala,UCJcN367ge_Yo1p7b20_KSaA,Canal 3 Guatemala,News & Politics,topic,215,0,0,0,0,False
7hfUg8Z-W2o,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2449,0,0,0,0,False
7kuHyjwuE_o,Centro Municipal de Emprendimiento - Municipalidad de Guatemala,UCBn6Y-Y3kCAQqYXHaMIjEVw,Centro Municipal de Emprendimiento MuniGuate,Entertainment,topic,528,0,0,0,0,False
7mdtGeIHQnE,"#LHEnContexto: Gestión de riesgos en GUATEMALA: Lo que debes saber, explicado por la CONRED",UCrAoF9-9Vvb9_zK0t-m2Rhg,La Hora,News & Politics,official_gov,570,0,0,0,0,False
8CuQ2_HTaN0,Conferencia de Prensa del Gobierno de Guatemala.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,735,0,0,0,0,False
8n6momRcC04,Mantenimiento constante,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,topic,91,0,0,0,0,False
90oVm0P4_9Q,"El MINGOB a través del Viceministerio de Seguridad, combate el crimen organizado.",UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,News & Politics,official_gov,5,0,0,0,0,False
9BIrwWQUdb8,"Capturan a ""guardián"" de parqueo utilizado por la mara Salvatrucha e incautan 5 vehículos robados.",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,official_gov,23972,0,0,0,0,False
9Jacxvi9umU,Los responsables de bloquear información en Guatecompras,UCDvpZGLyno6g-bi-wwYq4wQ,Somos El Combo,Entertainment,topic,7340,0,0,0,0,False
9XFVeHiWDTo,En #LaRondaGT conoce las acciones que impulsamos para modernizar los puertos y aeropuertos del país.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,official_gov,1516,0,0,0,0,False
9h7d1iDFaqo,Vuelve el tráfico lento en la ciudad capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,topic,11396,0,0,0,0,False
9wHujSu-nbQ,Quorum,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,topic,459,0,0,0,0,False
AHzfpOL5sgw,Sistema de gobierno de Guatemala 🇬🇹,UCwlb2TaG9ywiD6uhHWTy-qg,SUM Estudios Jurídicos.,Education,official_gov,2895,0,0,0,0,False
Aa7hIDCRh3g,Este BUS me LLEVO a UN PARAISO EN GUATEMALA,UCDfEVbDrimcKw5lfbps915g,De todo Gt,People & Blogs,topic,504374,0,0,0,0,False
AakUTlieyH0,Crisis de seguridad en Guatemala,UC-GLagjBhWAZ3IOWFgzqIAw,Canal Antigua,News & Politics,topic,733,0,0,0,0,False
Ab0RrbzxyBU,Municipalidad de Guatemala 17/11/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,117,0,0,0,0,False
AlbPEU3rbZs,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,870,0,0,0,0,False
ArljwpsURdY,"Entrevista especial con Claudinne Ogaldes, Secretaria Ejecutiva de la SE-CONRED",UC6SA1dVHvAkc6yNS_t5cbGw,Conred,Education,official_gov,416,0,0,0,0,False
B60bWqpVUIE,Así es el transporte público en Ciudad de Guatemala,UCBedZZFhxFcMudI8oM5joSQ,PaulinoG,Travel & Events,topic,96794,0,0,0,0,False
BLc_KXPng9g,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGT,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,720,0,0,0,0,False
BUNeDEi0yVU,CIV LICITACIÓN 800 KM 110717,UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,26,0,0,0,0,False
BW41jT3t3oI,Provial,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,People & Blogs,official_gov,79,0,0,0,0,False
BbAeamItalk,ZARAGOZA DA UN PASO HACIA EL FORTALECIMIENTO DEL DEPORTE CON NUEVA CIUDAD DEPORTIVA,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,News & Politics,topic,7,0,0,0,0,False
Bdn2nxDqQ90,Video Viral de PMT / GUATEMALA,UC6XLvudi9BWjAzCR-6KAHiw,carlos del cid,Film & Animation,official_gov,2482,0,0,0,0,False
Bi34XvRV6AM,Plan de Evacuación CONRED,UCyGWWWpmAP5AReA_o8bhaRg,MESCOGT,People & Blogs,official_gov,58,0,0,0,0,False
BnZFUzpEDe4,Municipalidad de Guatemala se moderniza,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,People & Blogs,topic,642,0,0,0,0,False
Boj5GILjbI0,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 2",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,26,0,0,0,0,False
Bp4LtQT8Hk0,"Ciudad de Guatemala, el mejor lugar para vivir",UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,Entertainment,official_gov,4265,0,0,0,0,False
C5hJmAhpMMQ,"YOUTUBE PUNTO DE ENFOQUE MARIO MEJÍA, SUBDIRECTOR DE INSIVUMEH",UClgawHgsbqN6Nuok7ds-Szw,INSIVUMEH,Science & Technology,topic,79,0,0,0,0,False
C8wk4HWwWyM,Duro golpe al crimen organizado en Granja Penal de Pavón.,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,topic,2214,0,0,0,0,False
CDg6kLRfiqQ,Acciones relevantes en el #Resumen24Horas,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,Science & Technology,official_gov,11048,0,0,0,0,False
CJQ46Hr4HcU,Municipalidad de Guatemala 19/12/2025,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,222,0,0,0,0,False
D3fRGjqHeHI,"Spot Rendición de Cuentas, segundo cuatrimestre 2023 - 1",UCAutgrPkiLhZxTB-Ujje1fw,CIV -Ministerio de Comunicaciones,People & Blogs,official_gov,23,0,0,0,0,False
D4CEpAfkkPI,Policías arremeten contra agente de PMT en zona 10,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,official_gov,79044,0,0,0,0,False
DBvMeKT4gzo,La Familia MÁS RICA de GUATEMALA... Ni la Guerra les Quitó el Trono y Hoy son DUEÑOS de tu CERVEZA,UCP1YKuLnn1WhzrkxCv1LILQ,Fortuna Latina,People & Blogs,topic,58881,0,0,0,0,False
DC1_qrLUvHI,Municipalidad de Guatemala 26/08/2026,UCW_PHqwqCCalvQGOEsVU0jw,Concejales de Oposición - Muni Guate,People & Blogs,topic,49,0,0,0,0,False
DMAKF8n0XJs,Guatemala TV • ID (2024-2026),UC7G_DpDtzHv0wbGJvvFCrNg,Mdpls2,Film & Animation,topic,367,0,0,0,0,False
DX5eT-hVU8Q,250 años Ciudad de Guatemala,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,official_gov,491,0,0,0,0,False
