autor_a,autor_b,videos_compartidos,nodo_a,nodo_b
@normaleticiaorozcojuarez2418,@almacatalan2717,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC-pNP6RMFuLg_-x7Ah_0kEA
@normaleticiaorozcojuarez2418,@JoseSimilox-p6e,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC1vr9aaMI2crB0NvwFHUeoQ
@normaleticiaorozcojuarez2418,@alfonsomorales2653,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC2Y_EHWQKevubk4vOEBBFxw
@normaleticiaorozcojuarez2418,@katerynsantiago2907,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC2weSE8rpqkGMOp6StYtVfg
@normaleticiaorozcojuarez2418,@EnnioAroche,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC3E9mAgP7VoAE5mZoAexl5g
@normaleticiaorozcojuarez2418,@isaaclopez7220,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC3MYTqpQqlWBuCB7Th0e0PA
@normaleticiaorozcojuarez2418,@marisosa7832,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC3NMzdMYryaw82kPTnsaljg
@normaleticiaorozcojuarez2418,@marioajset4283,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC3XTwHxygNCgjndsg-UiCQA
@normaleticiaorozcojuarez2418,@VICTOREST19,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC3qn1yJA5PeW9rkGPatQxiw
@normaleticiaorozcojuarez2418,@aluxdel4792,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC4cXueR2bKGFJV0Fk76gwmA
@normaleticiaorozcojuarez2418,@hugoasencio7764,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC4wq3DcbfaG6dtCqn8Oyu3w
@normaleticiaorozcojuarez2418,@ManuelEdran,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC5H8ASmMC9WrURmzeB4ySog
@normaleticiaorozcojuarez2418,@giovannirodas4836,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC5bG9nc_JV3FsNP2KseQiYw
@normaleticiaorozcojuarez2418,@edvinparedesherrera7632,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC650pRT-OYzny3GwOH8Cgfw
@normaleticiaorozcojuarez2418,@johnmejia992,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC6PvO1_k5lHKGdAPo5_C6TA
@normaleticiaorozcojuarez2418,@maxwellsales885,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC6YSZqL0vEcI-niPKIMUGfw
@normaleticiaorozcojuarez2418,@osmanmorales3012,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC72gBAtyb_VXQlYDcFrh6oQ
@normaleticiaorozcojuarez2418,@LuisCastillo-oz4df,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC7VUuJr9cGh845CmTvf7TlQ
@normaleticiaorozcojuarez2418,@carmenr6311,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC8F2V63KZ4ZEay6opX2hAQw
@normaleticiaorozcojuarez2418,@luisparedes-pw6qt,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC8G5cJONY8L9voMyBW8Eoug
@normaleticiaorozcojuarez2418,@cesaraugustomoralesmonroy6907,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC8r11yOugM2NuRfitQOxLLg
@normaleticiaorozcojuarez2418,@ErvinLeonardoCarreraLatín,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC9vMq1YF-e7C-VO0SHkbUTA
@normaleticiaorozcojuarez2418,@MariaaliciaColonmorales,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UC9xr9QvIcDvoZNUX5f-jaZw
@normaleticiaorozcojuarez2418,@oswaldosolis8728,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCA93ym2TXs_Ibyxb4Vcn-6Q
@normaleticiaorozcojuarez2418,@carlossoto3252,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCAlzM_N6xBlMYmM8EBzX86Q
@normaleticiaorozcojuarez2418,@Aura-vf6dm,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCAmtbUiIrUIhikru0ZoTFig
@normaleticiaorozcojuarez2418,@ernestogamboa8737,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCB5p8a5gklc80jJItP6xTHg
@normaleticiaorozcojuarez2418,@OsvaldoAguirre-l3i,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCCaYwkkbQGcvFoUmothVdQQ
@normaleticiaorozcojuarez2418,@lizardomorataya8274,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDIMztpVm7G27qBuiWuT6oQ
@normaleticiaorozcojuarez2418,@hectoroliva949,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDPWkUX3sNNaCx-m1dV4glA
@normaleticiaorozcojuarez2418,@federicosaquimux1933,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDQaQv0hr2SS_PO-CMEwVHg
@normaleticiaorozcojuarez2418,@luisletona2842,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDUffaruH6dyUnUGwsTKpgg
@normaleticiaorozcojuarez2418,@luisgpacheco5858,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDftMWXQoJ6nONfY7GVOVjg
@normaleticiaorozcojuarez2418,@cuabatzjj5924,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCDlr1VadSucIZgZ171pRBjQ
@normaleticiaorozcojuarez2418,@ArielRodas-g5y,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCEgEQmRbtL5fwr9_DqAC--g
@normaleticiaorozcojuarez2418,@dorisl.garciaroche7763,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCErZPJpHmLCsXs8ZWkAUupQ
@normaleticiaorozcojuarez2418,@allanmunoz7410,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCFUuDARXdmmIrLppEqf-rFg
@normaleticiaorozcojuarez2418,@diegoalejandrolopezmendez205,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCFhxtoeARHPnXXPcDrOU3Xg
@normaleticiaorozcojuarez2418,@HaroldoCastillo-rh9iw,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCFjudnPLoaSL1BaRuLahyHg
@normaleticiaorozcojuarez2418,@eddymunoz9789,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCFoIAE8k82D6AV-8gjjKaNg
@normaleticiaorozcojuarez2418,@JuanDavila-qd7qj,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCFxE8GbokBrBsPEKM1xrOjQ
@normaleticiaorozcojuarez2418,@FidelZacarias-ph7dy,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCGzXwyCzMzGmjmCbH3Hg01Q
@normaleticiaorozcojuarez2418,@virgiliogarcia3039,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCHTGCgY2l-DQJIvlA_cpa_Q
@normaleticiaorozcojuarez2418,@fredymendez1786,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCHhHUjaMAZ8SiXdCUCj9DkQ
@normaleticiaorozcojuarez2418,@mireyamorales6595,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCKDR0f2fu2UzWL8mBv5-BHw
@normaleticiaorozcojuarez2418,@raquelprado3643,1,author::UC-hfX8J5JPJ-dfuakzegMLA,author::UCL13XhnRzbGokEkCkEOb0-g
