node_id,tipo_nodo,etiqueta,comunidad,componente,grado,fuerza,grado_bipartito,intermediacion,cercania,pagerank,vector_propio,channel_name,category,view_count,comentarios_recibidos,sent_medio
author::UC7IMsCxfZyWN7YQo8-JYa6Q,autor,@Burgos68,7,1,1,2,0.0526,0.0,0.1706,0.00212,0.00083,,,,,-0.004
author::UCtNyHmRZtvGF2hSvI2dUBWw,autor,@aureliomaldonado4793,7,1,1,2,0.0526,0.0,0.1706,0.00212,0.00083,,,,,-0.485
author::UCzZ6dDCEsLMXbc5pCFXIprw,autor,@josegil3813,7,1,2,2,0.1053,0.17683,0.1827,0.00208,0.00042,,,,,-0.082
author::UCp29O_C7cchZV8IxV7Crdag,autor,@robertoescobar5507,4,1,1,2,0.0526,0.0,0.1326,0.00204,1e-05,,,,,0.368
author::UCoGdCoJg2Lh0OX_jv6cG16g,autor,@Israel-u5i7i,4,1,1,2,0.0526,0.0,0.1326,0.00204,1e-05,,,,,0.252
author::UCWaRixDdpgllTBf4V0jPnKQ,autor,@hectormaaz5523,4,1,1,2,0.0526,0.0,0.1326,0.00204,1e-05,,,,,-0.88
author::UCtCtts20bW6F9CSohau51Iw,autor,@carlosgranados9875,4,1,1,2,0.0526,0.0,0.1326,0.00204,1e-05,,,,,-0.378
author::UCHGd14aYuZZShLD73dkk6mg,autor,@noemiherrera3152,12,5,1,1,0.0526,0.0,0.0051,0.00198,0.0,,,,,0.715
author::UCWWkebAekppaL5b5CNlppuw,autor,@ninettmartinez425,12,5,1,1,0.0526,0.0,0.0051,0.00198,0.0,,,,,0.47
author::UCQIdKuZ-OzuFqy0KjGrgesg,autor,@lyacausa,12,5,1,1,0.0526,0.0,0.0051,0.00198,0.0,,,,,-0.713
author::UCld2stqxaVSk0QdGncM224A,autor,@sarahernandez3873,11,4,1,1,0.0526,0.0,0.0065,0.00187,0.0,,,,,0.965
author::UCNiMNUJvaRJb0_QLClqwVnA,autor,@Santiago.Nolasco,11,4,1,1,0.0526,0.0,0.0065,0.00187,0.0,,,,,0.914
author::UCtowGNY2lnlg6O2CkwDgkLg,autor,@taniagabrielacelis8434,11,4,1,1,0.0526,0.0,0.0065,0.00187,0.0,,,,,0.958
author::UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,11,4,1,1,0.0526,0.0,0.0065,0.00187,0.0,,,,,-0.971
author::UCBtB5dIyx-C16UN8ClUD2UA,autor,@alexmonzon4257,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.552
author::UCfRqgt2O-vjzUDMZY_tnxQw,autor,@Williams-Garcia67E,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.713
author::UCFFrEmn6lPYiWyElpfzTy5Q,autor,@denilsonlopez4083,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.86
author::UC4kg7zuTfqQKLd2bkZrSYBA,autor,@zoilagarcia9019,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.774
author::UCk4O-J1BhoqPmig1KLGJePA,autor,@lazarobarillas3575,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.545
author::UCLh1Kde4_vI1sTZBkTNP7RQ,autor,@JoelReynoso-d4r,10,1,1,1,0.0526,0.0,0.1238,0.00162,0.0,,,,,-0.015
author::UC3iIU62XKUOWuqL8BqBzj9A,autor,@antonioduarte2288,9,1,1,1,0.0526,0.0,0.1461,0.00159,0.00018,,,,,-0.893
author::UCIp19h9igblA2YKfSLPDAug,autor,@JoseReyes-rn6sh,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,0.561
author::UC_ljZ1hZXR9pzexFz87P5ZA,autor,@ChRiStOpHeR7969,5,2,1,1,0.0526,0.0,0.0364,0.00159,0.0,,,,,-0.782
