source,target,weight,relation
author::UCRznz9-N3Qc1w-qNdLSIY2Q,video::lj983NWyAQY,1,comento_en
author::UCSTAUWVc1_82DHYeqOsqEFA,video::lj983NWyAQY,1,comento_en
author::UCSou6a2OuYGSvPjm5psquyA,video::n8iP75gIpmw,1,comento_en
author::UCTD6q1nyIe3Y7HhqjaMj72w,video::n8iP75gIpmw,1,comento_en
author::UCTP3O0rMnc8z8v8jaDQwL0w,video::n8iP75gIpmw,1,comento_en
author::UCTTILH6QCIxbTnEWxwRqs1g,video::yLZS3JiEBg8,1,comento_en
author::UCThW2XNsAaBKme5PUt7n-Zg,video::n8iP75gIpmw,1,comento_en
author::UCTwSut16JyAg3mX6LVUNGqA,video::n8iP75gIpmw,1,comento_en
author::UCTylKrsqkrBKIqubMu_5N0Q,video::n8iP75gIpmw,1,comento_en
author::UCUIIIPTVDVHAXqhC_5V6lPA,video::n8iP75gIpmw,1,comento_en
author::UCUoYsrx1oZnCZ0usbBJn4fA,video::j43HgwYFKfk,1,comento_en
author::UCV0iizTBoOfdAFX_thfI9BA,video::n8iP75gIpmw,1,comento_en
author::UCV0lM03g5fg5pbPj97-sAtA,video::j43HgwYFKfk,1,comento_en
author::UCV3fr-YOixFKCZBbJP1-X4w,video::6W4u8sGEnGM,5,comento_en
author::UCVC2QugcI1G4RvlCiUqd1aQ,video::ndAZjHqzzT8,2,comento_en
author::UCVQf0tzL7xRzFJsABVVULpg,video::PjmxCj-a9Hg,1,comento_en
author::UCVdjCrh4tQoX3haNAZv-n5A,video::OkXlHx0hx-8,1,comento_en
author::UCVhif9eV0f8plICen2DnpKA,video::WIUZtitfLRw,1,comento_en
author::UCW-JC6lebVmf2P1dmY_L94g,video::j43HgwYFKfk,1,comento_en
author::UCW80DaMjQlEUibC98Cot-Dg,video::j43HgwYFKfk,1,comento_en
author::UCWIZUtKJ636y-4TYrNvok0g,video::n8iP75gIpmw,1,comento_en
author::UCWWkebAekppaL5b5CNlppuw,video::JkpVO1hx2f8,1,comento_en
author::UCWaRixDdpgllTBf4V0jPnKQ,video::6W4u8sGEnGM,2,comento_en
author::UCWoAVGVqCn4xtINCMOTM4jg,video::j43HgwYFKfk,1,comento_en
author::UCWvntqPQx99k_Z_skWKqNSA,video::6W4u8sGEnGM,1,comento_en
author::UCXN2s7DwTJm33xO-pNkAdaA,video::06mFNPU0aB8,1,comento_en
author::UCXO1BBohNWXkK9SBDAG2ySg,video::yLZS3JiEBg8,1,comento_en
author::UCXSkL3ejZ8qWYyF_M7s_QKA,video::n8iP75gIpmw,1,comento_en
author::UCXVLc8CmAO813ubM-fLvCDw,video::yLZS3JiEBg8,1,comento_en
author::UCXXh7yg5KUFIWylTiKVEFKQ,video::n8iP75gIpmw,2,comento_en
author::UCXgr7vXlRrsaskPdo097kGA,video::n8iP75gIpmw,1,comento_en
author::UCXl30Y_upRqbti52fmjK4YA,video::yLZS3JiEBg8,1,comento_en
author::UCXmrpc6Li0spcKxtS0Q_ptg,video::lj983NWyAQY,1,comento_en
author::UCXr8_5WtGeipe4haOoQDgyQ,video::n8iP75gIpmw,1,comento_en
author::UCY7Hq7F9Lnucf-Yr6JkHZNw,video::lj983NWyAQY,1,comento_en
author::UCYN4wSQ1Sx4_LurxLlW7MPg,video::n8iP75gIpmw,1,comento_en
author::UCYwpX26TrCxq8TvbKGRYLXA,video::n8iP75gIpmw,1,comento_en
author::UCZ51R_9Q9C0c8I3pAWhtmjQ,video::n8iP75gIpmw,1,comento_en
author::UCZFQwqh90apuL8eFhvRBkUg,video::6W4u8sGEnGM,1,comento_en
author::UCZIQnb1fkwe39Iw2TAu-bGA,video::WIUZtitfLRw,1,comento_en
author::UCZLG9qH0tUjNhEGFIUt0CYw,video::n8iP75gIpmw,1,comento_en
author::UCZOmq6MwFDVoCaEl99BRRaw,video::ndAZjHqzzT8,1,comento_en
author::UCZeIIQrGAedW8tCbKWmGY-A,video::j43HgwYFKfk,1,comento_en
author::UCZjm6U576nX8WOiLhmMR3bw,video::OkXlHx0hx-8,1,comento_en
author::UC_3xuTXvMIWU5MYP9HkJ3vQ,video::06mFNPU0aB8,1,comento_en
author::UC_6KbBY1bsYXz9fwFS0eQRg,video::ndAZjHqzzT8,1,comento_en
author::UC_LYoGs5C3mbZKZuKuqYCvw,video::j43HgwYFKfk,1,comento_en
author::UC_NRVt2UP88ZNTwzrZ66JSg,video::UhL9y3KUl8E,1,comento_en
author::UC_ljZ1hZXR9pzexFz87P5ZA,video::lj983NWyAQY,1,comento_en
author::UCa36MjQLoPAmgJo-R3G8WQA,video::6W4u8sGEnGM,1,comento_en
author::UCaKAjTW9MVub_clgr4DRYjQ,video::j43HgwYFKfk,1,comento_en
author::UCaT4saRcyqCLE657Rq2hhZQ,video::6W4u8sGEnGM,1,comento_en
author::UCaT6M2zp7X6r6Whd8Vv3kHQ,video::lj983NWyAQY,1,comento_en
author::UCat2qkYvqmtDNEmo2PVuhXw,video::OkXlHx0hx-8,1,comento_en
author::UCbNanjFI51cwGqMAb2rOrBw,video::OkXlHx0hx-8,1,comento_en
author::UCbYoNG5J3Au5BqtbXogfEFw,video::PjmxCj-a9Hg,1,comento_en
author::UCbrtvygfRT6QXqWDNrOf-cA,video::ndAZjHqzzT8,1,comento_en
author::UCbrtvygfRT6QXqWDNrOf-cA,video::yLZS3JiEBg8,1,comento_en
author::UCcFIBN-rtC3d3hXeuN5TfWw,video::yLZS3JiEBg8,1,comento_en
author::UCc_F88PzGWtA1OPNUEASulA,video::yLZS3JiEBg8,1,comento_en
author::UCcfdg8crmMJwEuLUsAhV7yg,video::n8iP75gIpmw,1,comento_en
author::UCdFlugHJJa4l3YqWuNRmvXw,video::is3Mk5oC19g,1,comento_en
author::UCdFlugHJJa4l3YqWuNRmvXw,video::j43HgwYFKfk,1,comento_en
author::UCdQAuWwyC99MB7Y02Umj26Q,video::yLZS3JiEBg8,1,comento_en
author::UCe8JZoYkX5oKUZyivHYdXhw,video::j43HgwYFKfk,1,comento_en
