origen,destino,peso,likes,respuestas,sent_medio,tipo_arista,author_channel_id,author_handle,video_id,title,channel_name
author::UCBlm80VQ4YoV3bUJR_XhkaQ,video::OkXlHx0hx-8,2,0,3,-0.343,comento_en,UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo
author::UCBtB5dIyx-C16UN8ClUD2UA,video::is3Mk5oC19g,1,0,0,-0.552,comento_en,UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
author::UCCBYcToQ2dwkd6TJh0FSyDg,video::j43HgwYFKfk,1,0,0,-0.378,comento_en,UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UCCUmP4PlbwgikVFpYwbtRTg,video::yLZS3JiEBg8,1,3,0,0.92,comento_en,UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum
author::UCCaYwkkbQGcvFoUmothVdQQ,video::n8iP75gIpmw,1,0,0,-0.942,comento_en,UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDIMztpVm7G27qBuiWuT6oQ,video::n8iP75gIpmw,1,0,0,-0.453,comento_en,UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDPWkUX3sNNaCx-m1dV4glA,video::n8iP75gIpmw,1,0,0,-0.891,comento_en,UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDQaQv0hr2SS_PO-CMEwVHg,video::n8iP75gIpmw,1,1,0,-0.627,comento_en,UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDUffaruH6dyUnUGwsTKpgg,video::n8iP75gIpmw,1,2,0,-0.802,comento_en,UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDftMWXQoJ6nONfY7GVOVjg,video::n8iP75gIpmw,1,0,0,-0.968,comento_en,UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDlr1VadSucIZgZ171pRBjQ,video::n8iP75gIpmw,1,0,0,0.022,comento_en,UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCDrmf9y9nLgFY5wnA2hTuGA,video::j43HgwYFKfk,1,1,0,0.368,comento_en,UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum
author::UCEHXl4VvvVpq-_4xC5tsbhg,video::6W4u8sGEnGM,1,7,0,0.744,comento_en,UCEHXl4VvvVpq-_4xC5tsbhg,@anibalg47,6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala
author::UCEgEQmRbtL5fwr9_DqAC--g,video::n8iP75gIpmw,1,2,0,-0.046,comento_en,UCEgEQmRbtL5fwr9_DqAC--g,@ArielRodas-g5y,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCErZPJpHmLCsXs8ZWkAUupQ,video::n8iP75gIpmw,1,2,1,-0.647,comento_en,UCErZPJpHmLCsXs8ZWkAUupQ,@dorisl.garciaroche7763,n8iP75gIpmw,Qué rico come tu diputado,Quorum
author::UCFFrEmn6lPYiWyElpfzTy5Q,video::is3Mk5oC19g,1,0,0,-0.86,comento_en,UCFFrEmn6lPYiWyElpfzTy5Q,@denilsonlopez4083,is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala
