author_channel_id,author_handle,comentarios,videos,canales,likes,respuestas
UCaKAjTW9MVub_clgr4DRYjQ,@josecastillo4390,1,1,1,6,0
UCaT4saRcyqCLE657Rq2hhZQ,@elmilenial4064,1,1,1,0,0
UCaT6M2zp7X6r6Whd8Vv3kHQ,@alexarcos8349,1,1,1,1,0
UCat2qkYvqmtDNEmo2PVuhXw,@DoraSalas-j5o,1,1,1,1,0
UCbNanjFI51cwGqMAb2rOrBw,@RosaMontesdeOca777,1,1,1,0,0
UCbYoNG5J3Au5BqtbXogfEFw,@Luis-gn3fj,1,1,1,1,0
UCcFIBN-rtC3d3hXeuN5TfWw,@DenisRMC,1,1,1,0,0
UCc_F88PzGWtA1OPNUEASulA,@rockyscarlet,1,1,1,0,0
UCcfdg8crmMJwEuLUsAhV7yg,@RolandoRaguay,1,1,1,1,0
UCdQAuWwyC99MB7Y02Umj26Q,@miguelbran1268,1,1,1,0,0
UCe8JZoYkX5oKUZyivHYdXhw,@FernandoGarcia-jg1fj,1,1,1,0,0
UCeDNEtI8_a42bZ47wJiJMwQ,@EdgarcalderonCalderong,1,1,1,0,0
UCeQk-WfEA-cJRq4EKeE7TOw,@franciscojuarez9223,1,1,1,0,0
UCefAH1MbvADWUjE9WVcB9EQ,@jabriz8152,1,1,1,0,0
UCf5lnNZF7Qrtli9v4N_23WQ,@CarlosCortez-v5r,1,1,1,0,0
UCfM3nrxtTQMY5jFx1v1J4Gg,@edgarroldan5539,1,1,1,0,0
UCfRqgt2O-vjzUDMZY_tnxQw,@Williams-Garcia67E,1,1,1,0,0
UCfXykdbSU97rj987LDUGfvg,@MariaSantos-c8y3h,1,1,1,1,0
UCfjhejO7LZy4doXURa7LZCQ,@HonwayLee-z5g,1,1,1,0,0
UCfo_yUPzy1f1POwwZxhZ06Q,@lara11roberto,1,1,1,1,0
UCgGqw4aqMdMVSGkKiMgrJRQ,@pattyfigueroa5609,1,1,1,0,0
UCgJNFj5dnxXpcMvmuhZDPxA,@NataliaRodriguez-rx5mr,1,1,1,1,0
UCgLrWFdYitoP-b7-PxtUr-w,@zetag,1,1,1,405,3
UCgLurCo-e019HGODcjXHWCw,@perritojuega1,1,1,1,2,0
UCgQJgI9vu1FI2dnC9mrFthw,@srms70,1,1,1,2,0
UCgQw_Sbq3ugruDUKsq1e0-A,@marlenareano-h4t,1,1,1,0,0
UCgvw7xIdGFupzpt1Y_BFkEA,@fredygarcia9151,1,1,1,1,0
UChT7pzGytNd92Nmvi-zuWog,@sparkvalkov,1,1,1,1,0
UChZknRmJkeGeQk0-mQuhDOg,@OdilioRodríguez-c5w,1,1,1,1,0
UCheEJ5GZuIvV0fj-nXyVwXw,@rosaoliva9389,1,1,1,0,0
UChep9kVb5gQmpodEEl10Xlg,@carlosaguilar-kz7ml,1,1,1,0,0
UChgkn5Jt5tWKYMoEOuCjz3Q,@pablochitay46,1,1,1,2,0
UChyps3dqY-VY1_wLeq-2lhw,@maydamorales4395,1,1,1,14,1
UCi-vPdnpQreC7BkFs40mJGA,@bryansicasales4280,1,1,1,35,0
UCiC-Jn7wdgyQV4_Urk0DkWQ,@pedroros6358,1,1,1,1,0
UCiGRBf2RNF0WRKhRVT7zFoA,@edwinavila4876,1,1,1,0,0
UCiMythXHsw7eQEMykCdmMUA,@JavierBecerra-h6x,1,1,1,2,0
UCiOZX__1gahg1ypIj0_XG_w,@mariogonzalezorellana8956,1,1,1,1,0
UCipetjeiWj4CZB6EbyYziZg,@OseasSamayoa-ol5rz,1,1,1,0,0
